request_id,concurrency,success,status_code,ttft_ms,total_latency_ms,streamed_chunks,output_text,prompt_tokens,completion_tokens,total_tokens,error,tpot_ms
1,8,True,200,106.077846,2853.222586,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.77311662745098
2,8,True,200,72.145235,2830.770428,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.818138011764706
3,8,True,200,95.571808,2841.110891,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.766819933333332
4,8,True,200,94.551735,2839.247091,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.7635112
5,8,True,200,94.499492,2838.720573,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.761651298039217
6,8,True,200,104.184633,2851.3205,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.773081831372549
7,8,True,200,103.548259,2850.803585,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.773550298039215
8,8,True,200,103.092394,2849.591987,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.770586639215686
9,8,True,200,65.836575,2839.354834,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.876542192156863
10,8,True,200,77.820191,2841.122468,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,10.83647951764706
